anio,mes,lpei,lpi,desagregacion
2007,Mar,641.21,1360.91,Rural
2007,Mar,852.51,2103.65,Urbano
2007,Abr,645.04,1361.22,Rural
2007,Abr,856.55,2101.53,Urbano
2007,May,626.43,1335.41,Rural
2007,May,836.14,2069.17,Urbano
2007,Jun,617.81,1328.1,Rural
2007,Jun,828.78,2063.74,Urbano
2007,Jul,625.61,1337.19,Rural
2007,Jul,837.62,2074.38,Urbano
2007,Ago,630.6,1344.58,Rural
2007,Ago,843.38,2083.47,Urbano
2007,Sep,646.43,1364.26,Rural
2007,Sep,859.73,2107.14,Urbano
2007,Oct,644.5,1368.55,Rural
2007,Oct,859.46,2116.68,Urbano
2007,Nov,648.14,1381.09,Rural
2007,Nov,864.07,2131.47,Urbano
2007,Dic,659.14,1394.51,Rural
2007,Dic,876.96,2145.09,Urbano
2008,Ene,659.31,1397.61,Rural
2008,Ene,878.62,2153.34,Urbano
2008,Feb,648.87,1389.76,Rural
2008,Feb,869.36,2147.59,Urbano
2008,Mar,659.18,1404.83,Rural
2008,Mar,879.34,2163.94,Urbano
2008,Abr,670.07,1413.38,Rural
2008,Abr,890.53,2169.87,Urbano
2008,May,671.59,1408.85,Rural
2008,May,893.33,2161.8,Urbano
2008,Jun,674.1,1414.49,Rural
2008,Jun,897.75,2173.3,Urbano
2008,Jul,683.61,1427.7,Rural
2008,Jul,908,2189.42,Urbano
2008,Ago,688.76,1440.46,Rural
2008,Ago,915.37,2206.75,Urbano
2008,Sep,695.31,1455.85,Rural
2008,Sep,923.95,2228.48,Urbano
2008,Oct,701.15,1469.79,Rural
2008,Oct,930.46,2247.56,Urbano
2008,Nov,715.52,1495.89,Rural
2008,Nov,946.32,2280.94,Urbano
2008,Dic,728.87,1510.72,Rural
2008,Dic,960.48,2294.02,Urbano
2009,Ene,723.94,1510.08,Rural
2009,Ene,958.15,2295.84,Urbano
2009,Feb,718.4,1509.09,Rural
2009,Feb,954.09,2297.02,Urbano
2009,Mar,731.17,1524.67,Rural
2009,Mar,967.28,2312.97,Urbano
2009,Abr,746.6,1538.35,Rural
2009,Abr,981.53,2325.87,Urbano
2009,May,747.71,1531.71,Rural
2009,May,983.09,2310.71,Urbano
2009,Jun,747.77,1532.92,Rural
2009,Jun,984.01,2312.61,Urbano
2009,Jul,749.58,1536.23,Rural
2009,Jul,987.17,2315.38,Urbano
2009,Ago,754.5,1545.86,Rural
2009,Ago,993.51,2323.08,Urbano
2009,Sep,770.29,1564.99,Rural
2009,Sep,1009.1,2343.14,Urbano
2009,Oct,762.7,1563.82,Rural
2009,Oct,1001.9,2349.83,Urbano
2009,Nov,756.7,1568.4,Rural
2009,Nov,996.18,2358.67,Urbano
2009,Dic,757.9,1571.58,Rural
2009,Dic,998.64,2361.46,Urbano
2010,Ene,769.35,1591.63,Rural
2010,Ene,1013.69,2399.11,Urbano
2010,Feb,773.85,1602.46,Rural
2010,Feb,1020.37,2417.07,Urbano
2010,Mar,799,1631.92,Rural
2010,Mar,1045.66,2448.4,Urbano
2010,Abr,790.44,1621.14,Rural
2010,Abr,1037.07,2434.94,Urbano
2010,May,767.41,1589.71,Rural
2010,May,1014.52,2396.62,Urbano
2010,Jun,751.95,1575.67,Rural
2010,Jun,1000.59,2384.85,Urbano
2010,Jul,752.65,1577.67,Rural
2010,Jul,1003.02,2389.22,Urbano
2010,Ago,756.65,1585.51,Rural
2010,Ago,1007.41,2399.37,Urbano
2010,Sep,763.82,1597.96,Rural
2010,Sep,1014.92,2416.5,Urbano
2010,Oct,773.16,1615.35,Rural
2010,Oct,1024.72,2435.91,Urbano
2010,Nov,779.03,1632.14,Rural
2010,Nov,1031.77,2461.35,Urbano
2010,Dic,786.78,1641.35,Rural
2010,Dic,1041.93,2470.67,Urbano
2011,Ene,790.74,1650.16,Rural
2011,Ene,1048.97,2485.11,Urbano
2011,Feb,794.45,1657.28,Rural
2011,Feb,1052.57,2499.14,Urbano
2011,Mar,788.74,1653.49,Rural
2011,Mar,1045.67,2488.8,Urbano
2011,Abr,809.77,1667.5,Rural
2011,Abr,1064.98,2474.01,Urbano
2011,May,791.06,1639.14,Rural
2011,May,1048.38,2441,Urbano
2011,Jun,778.17,1628.77,Rural
2011,Jun,1035.86,2431.63,Urbano
2011,Jul,789.17,1640.69,Rural
2011,Jul,1046.28,2444.09,Urbano
2011,Ago,793.01,1646.59,Rural
2011,Ago,1050.27,2450.71,Urbano
2011,Sep,800.44,1658.12,Rural
2011,Sep,1058.05,2464.09,Urbano
2011,Oct,806.11,1672.57,Rural
2011,Oct,1063.75,2483.48,Urbano
2011,Nov,813.56,1695.01,Rural
2011,Nov,1072.69,2521.38,Urbano
2011,Dic,832.29,1718.86,Rural
2011,Dic,1092.94,2545.58,Urbano
2012,Ene,847.08,1738.43,Rural
2012,Ene,1108.57,2568.54,Urbano
2012,Feb,841.13,1736.46,Rural
2012,Feb,1104.14,2570.16,Urbano
2012,Mar,842.59,1739.49,Rural
2012,Mar,1106.36,2568.83,Urbano
2012,Abr,840.52,1731.69,Rural
2012,Abr,1105.62,2552.47,Urbano
2012,May,843.85,1724.77,Rural
2012,May,1108.82,2540.77,Urbano
2012,Jun,858.86,1742.07,Rural
2012,Jun,1124.79,2551.52,Urbano
2012,Jul,875.65,1761.69,Rural
2012,Jul,1142.51,2572.82,Urbano
2012,Ago,878.71,1769.45,Rural
2012,Ago,1147.23,2583.38,Urbano
2012,Sep,898.38,1791.92,Rural
2012,Sep,1166.96,2604.39,Urbano
2012,Oct,900.75,1801.24,Rural
2012,Oct,1170.35,2613.43,Urbano
2012,Nov,898.09,1813.26,Rural
2012,Nov,1170.22,2611.66,Urbano
2012,Dic,904.19,1821.76,Rural
2012,Dic,1178,2599.31,Urbano
2013,Ene,904.49,1826.49,Rural
2013,Ene,1180.95,2628.07,Urbano
2013,Feb,902.56,1829.64,Rural
2013,Feb,1180.28,2667.14,Urbano
2013,Mar,917.69,1847.6,Rural
2013,Mar,1195.82,2692.05,Urbano
2013,Abr,920.23,1847.95,Rural
2013,Abr,1199.07,2687.89,Urbano
2013,May,921.94,1839.8,Rural
2013,May,1200.32,2672.36,Urbano
2013,Jun,914.54,1835.69,Rural
2013,Jun,1194.35,2669.34,Urbano
2013,Jul,906.55,1828.7,Rural
