,iso3,country,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
270,BRB,Barbados,2016,78.7235,Barbados,145315.0,30.0,,
271,CHL,Chile,2016,82.57,Chile,9111944.0,13.0,1.572,
272,COL,Colombia,2016,79.4398,Colombia,24107989.0,84.0,2.58,57.0
273,CRI,Costa Rica,2016,82.0082,Costa Rica,2465916.0,28.0,1.695,26.0
274,CUB,Cuba,2016,80.1105,Cuba,5691556.0,37.0,2.02,
275,DMA,Dominica,2016,73.0191,Dominica,34895.0,,,
276,DOM,Dominican Republic,2016,76.304,República Dominicana,5224450.0,94.0,2.038,108.0
277,ECU,Ecuador,2016,79.1373,Ecuador,8217460.0,61.0,1.95,66.0
278,GRD,Grenada,2016,77.8138,Granada,59709.0,25.0,,
279,GTM,Guatemala,2016,75.3922,Guatemala,7987891.0,98.0,2.124,173.0
280,GUY,Guyana,2016,71.8822,Guyana,386678.0,170.0,2.05,
281,HND,Honduras,2016,75.0777,Honduras,4678163.0,65.0,2.124,264.0
282,HTI,Haiti,2016,66.2348,Haití,5394724.0,489.0,2.014,
283,JAM,Jamaica,2016,73.9174,Jamaica,1410867.0,80.0,1.956,
284,KNA,Saint Kitts and Nevis,2016,75.941,Saint Kitts y Nevis,24472.0,,,
285,LCA,Saint Lucia,2016,76.5822,Santa Lucía,88683.0,117.0,,0.0
286,MEX,Mexico,2016,77.4856,México,62029592.0,34.0,2.274,604.0
287,NIC,Nicaragua,2016,76.122,Nicaragua,3240784.0,100.0,1.892,
288,PAN,Panama,2016,80.7356,Panamá,2010059.0,55.0,1.839,19.0
289,PER,Peru,2016,77.9528,Perú,15704688.0,91.0,1.963,105.0
290,PRY,Paraguay,2016,76.413,Paraguay,3116116.0,86.0,2.02,39.0
291,SLV,El Salvador,2016,77.0754,El Salvador,3266614.0,47.0,2.124,256.0
292,SUR,Suriname,2016,74.8513,Suriname,290695.0,121.0,,
293,TTO,Trinidad and Tobago,2016,77.6742,Trinidad y Tobago,745604.0,68.0,2.021,20.0
294,URY,Uruguay,2016,81.3561,Uruguay,1764048.0,18.0,1.648,22.0
295,VCT,Saint Vincent and the Grenadines,2016,77.102,San Vicente y las Granadinas,51704.0,67.0,,
296,VEN,Venezuela (Bolivarian Republic of),2016,76.7416,Venezuela,15457477.0,121.0,2.622,122.0
297,ARG,Argentina,2017,80.085,Argentina,22244116.0,39.0,1.934,249.0
